Nr okr.,TERYT,Gmina,L. obw.,Liczba wyborców,Otrzymane karty,Niewykorzystane karty,Wydane karty,Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,Pakiety wyborcze,Koperty zwrotne,Koperty  bez oświadczenia,Niepodpisane oświadczenie,Koperty zwrotne bez koperty na kartę do głosowania,Niezaklejona koperta na kartę do głosowania,Koperty na kartę do głosowania wrzucone do urny,Karty wyjęte z urny,Karty wyjęte z kopert na karty do głosowania,Karty nieważne,Karty ważne,Głosy nieważne,w tym: z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list,w tym: z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,"w tym: z powodu postawienia znaku „x” wyłącznie obok nazwiska kandydata z listy, której rejestracja została unieważniona",Głosy ważne,1 - Komitet Wyborczy Prawo i Sprawiedliwość,2 - Komitet Wyborczy Platforma Obywatelska RP,3 - Komitet Wyborczy Partia Razem,4 - Komitet Wyborczy KORWiN,5 - Komitet Wyborczy Polskie Stronnictwo Ludowe,6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni,7 - Komitet Wyborczy Wyborców „Kukiz'15”,8 - Komitet Wyborczy Nowoczesna Ryszarda Petru,9 - Komitet Wyborczy Wyborców JOW Bezpartyjni,10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi,11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej,12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska,13 - Komitet Wyborczy Samoobrona,14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”,15 - Komitet Wyborczy Kongres Nowej Prawicy,16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka,16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu
1,20101,m. Bolesławiec,24,31388,24221,8858,15363,15,100,4,4,0,0,0,0,4,15365,4,2,15363,358,246,103,0,15005,4579,4416,520,969,425,1751,1154,1191,,,,,,,,,
1,20102,gm. Bolesławiec,11,10953,8338,3622,4716,0,33,1,1,0,0,0,0,1,4715,1,0,4715,154,105,49,0,4561,1591,1090,140,292,227,338,502,381,,,,,,,,,
1,20103,gm. Gromadka,4,4509,3440,1573,1867,0,8,0,0,0,0,0,0,0,1866,0,0,1866,107,77,19,0,1759,796,382,60,48,98,149,164,62,,,,,,,,,
1,20104,gm. Nowogrodziec,12,11915,9121,4869,4252,2,19,0,0,0,0,0,0,0,4252,0,0,4252,221,171,48,0,4031,1595,834,153,245,208,227,531,238,,,,,,,,,
1,20105,gm. Osiecznica,7,5456,4155,2019,2136,0,22,0,0,0,0,0,0,0,2136,0,0,2136,98,78,18,0,2038,609,512,90,149,102,197,246,133,,,,,,,,,
1,20106,gm. Warta Bolesławiecka,6,6705,5098,2537,2561,3,30,3,3,0,0,0,0,3,2564,3,0,2564,87,61,22,0,2477,962,584,90,119,110,203,277,132,,,,,,,,,
2,20201,m. Bielawa,22,25042,19148,8190,10958,4,42,25,25,0,0,1,0,24,10978,24,0,10978,353,252,88,0,10625,3393,2857,421,457,99,1620,915,726,137.0,,,,,,,,
2,20202,m. Dzierżoniów,23,27607,21136,7521,13615,12,60,5,5,0,0,0,0,5,13619,5,72,13547,289,197,74,0,13258,4186,4426,447,498,158,1244,1075,1114,110.0,,,,,,,,
2,20203,m. Pieszyce,8,7670,5840,2657,3183,6,20,0,0,0,0,0,0,0,3183,0,0,3183,128,85,43,0,3055,1119,864,95,149,214,205,226,157,26.0,,,,,,,,
2,20204,m. Piława Górna,3,5279,4031,1870,2161,9,5,0,0,0,0,0,0,0,2161,0,0,2161,80,53,27,0,2081,779,485,98,108,41,135,215,207,13.0,,,,,,,,
2,20205,gm. Dzierżoniów,13,7666,5900,2541,3359,0,13,2,2,0,0,1,0,1,3356,1,0,3356,153,107,32,0,3203,1230,812,113,118,98,201,405,194,32.0,,,,,,,,
2,20206,gm. Łagiewniki,6,6085,4619,2103,2516,1,21,1,1,0,0,0,0,1,2513,1,0,2513,109,77,29,0,2404,1002,562,88,102,100,152,238,137,23.0,,,,,,,,
2,20207,gm. Niemcza,6,4750,3600,1664,1936,1,51,0,0,0,0,0,0,0,1936,0,0,1936,77,47,28,0,1859,625,492,55,79,111,155,190,144,8.0,,,,,,,,
1,20301,m. Głogów,38,53869,41733,13914,27819,6,140,12,12,0,0,0,0,12,27822,12,2,27820,664,518,130,0,27156,10653,7307,979,876,369,3101,2121,1750,,,,,,,,,
1,20302,gm. Głogów,4,5190,3959,1320,2639,1,22,0,0,0,0,0,0,0,2639,0,0,2639,113,90,23,0,2526,1082,564,110,110,70,205,199,186,,,,,,,,,
1,20303,gm. Jerzmanowa,4,3563,2710,777,1933,1,5,0,0,0,0,0,0,0,1933,0,0,1933,62,52,9,0,1871,733,399,76,92,77,190,155,149,,,,,,,,,
1,20304,gm. Kotla,5,3410,2731,1372,1359,0,6,0,0,0,0,0,0,0,1358,0,0,1358,63,50,9,0,1295,580,294,56,30,44,119,106,66,,,,,,,,,
1,20305,gm. Pęcław,2,1779,1350,602,748,0,7,1,1,0,0,0,0,1,749,1,0,749,41,35,3,0,708,341,123,19,18,94,38,61,14,,,,,,,,,
1,20306,gm. Żukowice,2,2768,2110,963,1147,3,3,0,0,0,0,0,0,0,1147,0,0,1147,50,43,7,0,1097,444,267,30,35,53,86,139,43,,,,,,,,,
3,20401,gm. Góra,14,16082,12249,5781,6468,1,40,2,2,0,0,0,0,2,6466,2,0,6466,222,145,77,0,6244,1981,2270,196,198,403,343,538,262,,46.0,,,,7.0,,,
3,20402,gm. Jemielno,3,2479,1900,1049,850,3,6,0,0,0,0,0,0,0,851,0,0,851,37,23,14,0,814,293,155,11,21,172,51,78,26,,7.0,,,,0.0,,,
3,20403,gm. Niechlów,4,3936,3050,1728,1322,0,2,3,3,0,0,0,0,3,1325,3,0,1325,72,60,12,0,1253,492,261,51,61,160,62,106,49,,8.0,,,,3.0,,,
3,20404,gm. Wąsosz,5,5865,4500,2377,2123,0,4,3,3,0,0,0,0,3,2126,3,0,2126,102,75,26,0,2024,706,472,72,71,195,144,241,109,,10.0,,,,4.0,,,
1,20501,m. Jawor,14,19624,15101,5972,9129,3,30,7,7,0,0,0,0,7,9136,7,1,9135,204,144,55,0,8931,3487,2014,300,416,260,819,1014,621,,,,,,,,,
1,20502,gm. Bolków,13,8691,6682,3288,3394,2,26,3,3,0,0,0,0,3,3397,3,0,3397,145,120,25,0,3252,952,704,117,126,457,387,323,186,,,,,,,,,
1,20503,gm. Męcinka,4,3939,3010,1366,1644,0,6,0,0,0,0,0,0,0,1644,0,0,1644,56,48,8,0,1588,775,240,35,59,131,110,161,77,,,,,,,,,
1,20504,gm. Mściwojów,3,3272,2510,1138,1372,0,5,0,0,0,0,0,0,0,1372,0,0,1372,49,39,8,0,1323,429,289,45,46,190,122,130,72,,,,,,,,,
1,20505,gm. Paszowice,2,3201,2440,1113,1327,0,2,0,0,0,0,0,0,0,1327,0,0,1327,39,32,7,0,1288,523,232,36,77,115,92,123,90,,,,,,,,,
1,20506,gm. Wądroże Wielkie,3,3299,2512,1206,1306,0,33,0,0,0,0,0,0,0,1306,0,0,1306,57,44,12,0,1249,406,227,41,32,260,77,149,57,,,,,,,,,
1,20601,m. Karpacz,7,4424,3290,1111,2179,2,234,5,5,0,0,0,0,5,2184,5,0,2184,40,25,14,0,2144,404,815,97,128,95,226,155,224,,,,,,,,,
1,20602,m. Kowary,11,9068,7055,3168,3887,0,26,2,2,0,0,0,0,2,3889,2,0,3889,155,112,43,0,3734,999,1229,179,182,117,376,345,307,,,,,,,,,
1,20603,m. Piechowice,4,5246,4000,1543,2457,4,15,0,0,0,0,0,0,0,2455,0,0,2455,72,47,25,0,2383,632,749,94,141,108,211,221,227,,,,,,,,,
