TERYT Gminy,Gmina,Powiat,Województwo,Nr okręgu,Liczba komisji,Liczba uwzględnionych komisji,Komisja otrzymała kart do głosowania,Liczba wyborców uprawnionych do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania","Liczba wyborców, którym wysłano pakiety wyborcze","Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania,Liczba otrzymanych kopert zwrotnych,"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu","Liczba kopert zwrotnych, w których oświadczenie nie było podpisane","Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania","Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania",Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,W tym liczba kart wyjętych z kopert na kartę do głosowania,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list,W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona",Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY,KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE,KOMITET WYBORCZY NOWA LEWICA,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI,KOMITET WYBORCZY POLSKA JEST JEDNA,KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU,KOMITET WYBORCZY NORMALNY KRAJ,KOMITET WYBORCZY ANTYPARTIA,KOMITET WYBORCZY RUCH NAPRAWY POLSKI,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
,Albania,zagranica,,19,1,1,834.0,855.0,19.0,815.0,0.0,815.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,815.0,0.0,0.0,815.0,4.0,1.0,3.0,0.0,811.0,12.0,138.0,143.0,69.0,61.0,378.0,10.0,,,,,
,Algieria,zagranica,,19,1,1,100.0,66.0,40.0,60.0,0.0,60.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,60.0,3.0,1.0,2.0,0.0,57.0,0.0,10.0,6.0,9.0,5.0,27.0,0.0,,,,,
,Angola,zagranica,,19,1,1,60.0,27.0,36.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0,1.0,2.0,2.0,4.0,4.0,9.0,2.0,,,,,
,Azerbejdżan,zagranica,,19,1,1,250.0,87.0,163.0,87.0,0.0,87.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,87.0,2.0,1.0,1.0,0.0,85.0,3.0,10.0,11.0,3.0,5.0,51.0,2.0,,,,,
,Argentyna,zagranica,,19,1,1,235.0,224.0,35.0,200.0,0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,199.0,21.0,19.0,2.0,0.0,178.0,2.0,24.0,46.0,36.0,12.0,58.0,0.0,,,,,
,Australia,zagranica,,19,6,6,5041.0,4586.0,830.0,4208.0,0.0,4208.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,4213.0,0.0,5.0,4208.0,24.0,11.0,13.0,0.0,4184.0,41.0,347.0,607.0,719.0,301.0,2084.0,85.0,,,,,
,Austria,zagranica,,19,8,8,13903.0,11887.0,2732.0,11166.0,0.0,11166.0,0.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,11170.0,0.0,5.0,11165.0,89.0,44.0,45.0,0.0,11076.0,160.0,1317.0,1586.0,2317.0,863.0,4538.0,295.0,,,,,
,Armenia,zagranica,,19,1,1,280.0,111.0,173.0,107.0,0.0,107.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,107.0,3.0,19.0,25.0,7.0,3.0,50.0,0.0,,,,,
,Belgia,zagranica,,19,11,11,24596.0,20979.0,4813.0,19781.0,0.0,19781.0,0.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,19777.0,0.0,16.0,19761.0,191.0,92.0,99.0,0.0,19570.0,241.0,2682.0,2744.0,3289.0,1917.0,8321.0,376.0,,,,,
,Bośnia i Hercegowina,zagranica,,19,1,1,200.0,144.0,61.0,139.0,0.0,139.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,139.0,5.0,16.0,18.0,33.0,11.0,51.0,5.0,,,,,
